model,precision,recall,f1,pr_auc,threshold,tn,fp,fn,tp,total_cost
DecisionTree_SMOTE_ClassWeight,0.3793103448275862,0.6947368421052632,0.49070631970260226,0.2640319203803263,0.01,56543,108,29,66,398.0
XGBoost_ScalePosWeight,0.8505747126436781,0.7789473684210526,0.8131868131868132,0.8212292921835528,0.10898989898989898,56638,13,21,74,223.0
TensorFlowMLP_SMOTE_ClassWeight,0.7708333333333334,0.7789473684210526,0.774869109947644,0.7729374231746723,0.98010101010101,56629,22,21,74,232.0
